City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,san jose del guaviare,1.1101,-73.1533,22.57,92,99,0.2,CO,1731299558
203,fort mcmurray,59.3815,-108.9232,-6.31,86,59,3.13,CA,1731299559
204,alta,68.2293,22.4868,-4.62,84,59,0.82,SE,1731299561
205,vigan,17.4712,119.36,28.09,84,100,17.3,PH,1731299562
206,fairbanks,67.17,-147.2443,-17.61,81,17,3.03,US,1731299563
207,torghay,49.7621,63.217,-1.44,91,97,6.2,KZ,1731299565
208,nyandoma,62.0594,39.6987,-3.05,97,95,2.04,RU,1731299566
209,ziniare,12.5349,-1.4671,23.08,24,0,3.81,BF,1731299567
210,kabare,-2.8441,28.0726,18.49,98,92,0.37,CD,1731299568
211,ikalamavony,-21.5744,46.4818,24.24,53,2,1.68,MG,1731299569
212,ajdabiya,30.9387,21.37,16.55,60,100,3.81,LY,1731299572
213,san lawrenz,35.3479,13.0384,20.54,65,86,1.42,IT,1731299573
214,calama,-22.2659,-69.0187,5.5,30,1,0.96,CL,1731299574
215,quelimane,-17.5364,37.8955,26.19,80,0,5.95,MZ,1731299576
216,along,29.2463,94.3056,13.04,27,0,2.94,CN,1731299577
217,zaragoza,17.0148,119.3458,28.12,85,100,14.78,PH,1731299578
218,pine bluff,34.3106,-91.974,16.99,97,100,0.0,US,1731299581
219,solofra,40.8302,14.8456,10.81,87,18,2.39,IT,1731299582
220,enchanted hills,35.4815,-106.8265,5.82,59,16,2.01,US,1731299583
221,kayabaglar,38.0488,41.5629,9.88,58,100,1.06,TR,1731299585
222,lerma,20.3592,-91.1328,27.63,80,53,3.3,MX,1731299586
223,schoppenstedt,52.0925,10.8457,5.22,93,100,1.01,DE,1731299588
224,hampton bays,40.2029,-72.3676,17.55,83,100,13.79,US,1731299589
225,bordj bou arreridj,35.9108,4.7112,11.1,88,85,3.2,DZ,1731299590
226,cody,44.3784,-109.615,-1.9,59,94,3.45,US,1731299591
227,doka,14.1362,36.4866,28.47,39,3,1.25,SD,1731299592
228,'ain el melh,34.6578,4.4724,12.84,71,32,10.58,DZ,1731299593
229,peace river,58.3282,-116.4302,-2.43,76,100,5.28,CA,1731299594
230,missoula,46.821,-113.4257,-2.15,90,98,0.28,US,1731299597
231,tres passos,-27.2571,-53.8764,16.5,73,0,0.89,BR,1731299598
232,launceston,-41.365,148.0603,23.23,34,0,3.89,AU,1731299599
233,bhamo,24.3016,95.7794,28.6,50,1,1.06,MM,1731299600
234,gladstone,-23.408,151.1699,25.22,70,77,4.59,AU,1731299603
235,palmer,62.605,-147.7205,-13.93,83,87,1.19,US,1731299604
236,prince albert,53.8403,-105.9863,-2.7,95,10,1.98,CA,1731299605
237,mitsamiouli,-10.6752,43.2491,26.92,75,6,5.17,KM,1731299606
238,cable beach,-19.031,121.934,40.72,20,34,2.23,AU,1731299609
239,vuktyl,64.3524,57.6417,-9.37,93,97,2.87,RU,1731299610
240,halchiu,45.7935,25.5664,1.99,97,94,0.45,RO,1731299611
241,breves,-1.9144,-50.2226,25.63,82,100,2.54,BR,1731299612
242,gap,44.7607,6.2816,-1.88,51,13,1.38,FR,1731299613
243,williams lake,52.713,-121.2106,-8.28,95,97,1.93,CA,1731299614
244,al artawiyah,26.6931,44.9856,22.34,38,87,4.82,SA,1731299616
245,sitia,34.2202,26.9554,18.49,64,17,3.96,GR,1731299617
246,lewiston orchards,46.1133,-116.828,2.92,77,99,3.05,US,1731299618
247,aquitania,5.5086,-72.9609,9.05,91,94,0.93,CO,1731299619
248,eydhafushi,5.1337,72.2374,28.44,71,7,2.86,MV,1731299620
249,choibalsan,48.2609,114.5469,0.23,49,1,7.68,MN,1731299622
250,tambopata,-12.7464,-69.3222,22.13,99,67,0.31,PE,1731299624
251,menongue,-14.2878,17.8375,17.35,93,99,1.01,AO,1731299626
252,tame,5.8612,-71.776,23.31,91,100,1.14,CO,1731299627
253,okoneshnikovo,54.6191,75.1831,-9.04,93,35,4.53,RU,1731299629
254,aguilas,37.1686,-1.438,19.62,75,21,3.03,ES,1731299630
255,dawesville,-32.3971,114.6304,17.14,70,0,6.76,AU,1731299633
256,chipinge,-21.1393,32.7498,24.94,67,95,3.56,ZW,1731299634
257,pierre,45.2943,-101.357,5.9,74,67,5.63,US,1731299635
258,bayan nur,41.3756,105.3901,9.13,25,0,6.99,CN,1731299636
259,noosa heads,-26.3065,154.1097,24.15,81,74,7.32,AU,1731299638
260,darhan,49.5393,105.8821,3.63,33,70,2.68,MN,1731299640
261,huanren,41.8578,125.1845,7.88,37,80,2.19,CN,1731299642
262,fortuna,40.2744,-124.1219,11.8,97,100,5.11,US,1731299643
263,veraval,20.3726,69.7268,28.44,60,0,5.63,IN,1731299644
264,tarija,-21.5777,-64.6143,19.03,64,1,1.87,BO,1731299645
265,miyanoura,30.0494,130.2476,22.56,83,97,5.65,JP,1731299646
266,san antonio oeste,-41.4984,-64.3156,12.96,71,90,9.65,AR,1731299648
267,chipurupalle,18.1917,83.6848,28.98,46,15,4.52,IN,1731299650
268,xining,34.7686,99.8446,5.94,41,62,2.61,CN,1731299651
269,mandal,57.5634,7.67,7.99,87,100,3.81,NO,1731299652
270,comodoro rivadavia,-45.6979,-66.1401,12.31,70,74,7.34,AR,1731299653
271,kuching,2.4103,109.4366,27.56,76,100,1.14,MY,1731299655
272,esperanza,-31.3989,-60.9836,17.98,85,100,8.8,AR,1731299658
273,lorengau,-1.8361,147.0438,29.28,73,83,3.04,PG,1731299660
274,holbrook,35.3493,-109.5668,9.09,39,0,1.3,US,1731299662
275,tanjung selor,1.846,118.9985,28.9,66,99,1.19,ID,1731299664
276,orosei,40.1499,10.2148,18.98,75,69,6.56,IT,1731299665
277,mezgor'e,54.0942,57.5286,-9.9,93,100,1.2,RU,1731299667
278,ola,63.0798,156.8148,-29.98,99,14,1.05,RU,1731299668
279,mirador,-6.7002,-44.7636,23.67,86,99,1.09,BR,1731299669
280,tura,71.3899,104.6512,-26.32,100,91,1.11,RU,1731299670
281,halstead,51.9901,0.6856,9.01,87,100,4.95,GB,1731299672
282,lubao,-5.4105,25.6366,20.63,97,74,0.38,CD,1731299673
283,weiser,45.0814,-115.9263,-3.05,99,100,3.0,US,1731299675
284,childress,34.5574,-99.7825,13.48,59,4,1.38,US,1731299678
285,preston,42.0712,-112.0995,1.92,47,68,0.55,US,1731299681
286,popondetta,-8.1826,148.9439,27.49,76,100,1.72,PG,1731299687
287,dien bien phu,20.9552,102.955,30.03,38,33,0.19,VN,1731299688
288,kashgar,39.4293,76.1892,9.84,46,40,4.0,CN,1731299690
289,sattahip,12.7492,100.473,27.8,67,58,5.29,TH,1731299691
290,baker city,43.4763,-118.5708,6.49,74,100,3.07,US,1731299693
291,bir el ater,34.6652,7.5273,15.71,64,2,4.02,DZ,1731299695
292,rostov,56.9478,39.5727,0.65,74,100,2.15,RU,1731299699
293,mil'kovo,57.341,157.6675,-5.48,91,100,6.2,RU,1731299707
294,ashkasham,36.3162,71.3845,-12.49,81,49,1.6,AF,1731299710
295,civitavecchia,41.7077,11.4385,17.57,74,2,3.9,IT,1731299711
296,robore,-18.1453,-60.5116,23.72,51,55,2.67,BO,1731299712
297,comacchio,44.6761,12.1728,8.02,80,4,3.49,IT,1731299713
298,slave lake,55.3871,-115.9613,1.87,72,100,4.54,CA,1731299714
299,borogontsy,66.899,130.5884,-29.61,99,40,1.16,RU,1731299715
300,akjoujt,18.8997,-14.5575,23.95,16,81,5.15,MR,1731299716
301,mount pleasant,43.8886,-85.0298,8.58,89,89,5.4,US,1731299719
302,chinju,35.4022,128.1408,19.92,53,44,2.0,KR,1731299720
303,puerto rico,2.2862,-74.4815,21.65,87,100,0.23,CO,1731299721
304,xudat,41.5704,48.7276,10.71,80,100,1.29,AZ,1731299722
305,zabaykal'sk,48.8401,116.9253,2.61,41,20,9.23,CN,1731299723
306,weining,26.6077,104.4451,14.98,90,99,1.25,CN,1731299725
307,scone,-31.7911,150.6761,26.4,43,98,4.7,AU,1731299726
308,glubokoye,50.0263,81.9578,0.26,98,100,7.79,KZ,1731299727
309,las khorey,12.0967,47.3256,27.78,65,98,7.74,SO,1731299729
310,soure,-0.5572,-48.5811,26.4,78,94,2.97,BR,1731299730
311,ha'il,26.8877,40.4025,21.19,32,0,6.37,SA,1731299731
312,skipton,54.1498,-1.9156,5.86,90,90,2.9,GB,1731299733
313,prabumulih,-3.0183,104.125,31.51,67,99,0.17,ID,1731299736
314,gravenhurst,44.99,-79.4878,9.21,100,100,2.57,CA,1731299737
315,kampene,-3.4503,26.6793,19.53,99,94,0.2,CD,1731299739
316,hun,29.5479,14.0128,16.66,37,53,4.58,LY,1731299741
317,castro,-24.7344,-49.6936,13.26,99,11,1.04,BR,1731299742
318,gornozavodsk,46.6915,140.8571,4.39,50,2,9.86,RU,1731299743
319,beneditinos,-5.3953,-42.3422,24.15,70,100,1.89,BR,1731299745
320,montepuez,-12.8624,38.8775,25.88,59,0,2.16,MZ,1731299746
321,cooma,-36.9043,150.2851,18.17,76,7,6.63,AU,1731299748
322,serowe,-21.9771,26.9422,21.06,78,99,4.27,BW,1731299749
323,yanbu,24.41,38.3618,26.63,58,16,0.9,SA,1731299750
324,qaisumah,27.7207,46.2164,23.11,39,53,3.62,SA,1731299751
325,lhokseumawe,5.1397,97.4052,30.76,64,99,2.6,ID,1731299752
326,turan,53.0966,94.3013,-3.03,62,99,0.69,RU,1731299755
327,sao marcos,-28.8311,-51.159,13.74,97,0,1.24,BR,1731299756
328,emerald,-22.9829,147.8547,36.33,24,40,5.72,AU,1731299757
329,tikrit,34.3751,43.3737,19.11,70,100,3.15,IQ,1731299758
330,puttalam,7.846,79.9137,28.95,67,30,3.21,LK,1731299759
331,plock,52.7224,19.9653,-0.89,82,12,2.4,PL,1731299764
